"","Location","Date","Xylazine_ngL","AveFlowrateMGD","massload_ug","Popsize","mass_per1000_ug","mass_per100k_mg"
"1","FH",2023-06-26,0,10.3,0,98505,0,0
"2","FH",2024-02-05,0,9.3,0,98505,0,0
"3","FH",2023-11-27,0,8.3,0,98505,0,0
"4","FH",2023-10-14,0.15,5.1,2895.84018,98505,29.3979004111466,2.93979004111466
"5","FH",2023-07-24,0,6.4,0,98505,0,0
"6","FH",2024-02-19,0,7.5,0,98505,0,0
"7","FH",2023-12-27,0,7,0,98505,0,0
"8","FH",2023-10-30,0,8.23,0,98505,0,0
"9","FH",2023-08-28,0,5.6,0,98505,0,0
"10","FH",2024-02-26,1.44,5.2,28345.165056,98505,287.753566377341,28.7753566377341
"11","FH",2024-01-29,0,8.1,0,98505,0,0
"12","FH",2023-11-13,0,2.4,0,98505,0,0
"13","FH",2023-09-25,0,3,0,98505,0,0
"14","FH",2024-03-04,0,1.7,0,98505,0,0
"15","FH",2024-05-13,0,5.5,0,98505,0,0
"16","FH",2024-04-22,0,10.16,0,98505,0,0
"17","FH",2024-04-03,0,7.1,0,98505,0,0
"18","FH",2024-03-11,0,2.4,0,98505,0,0
"19","FH",2024-05-20,0,6.9,0,98505,0,0
"20","FH",2024-04-29,0,6.6,0,98505,0,0
"21","FH",2024-04-08,0,2.6,0,98505,0,0
"22","FH",2024-03-18,0,6.2,0,98505,0,0
"23","FH",2024-05-29,0,5.2,0,98505,0,0
"24","FH",2024-05-06,1.07,2.7,10936.055268,98505,111.020306258566,11.1020306258566
"25","FH",2024-04-15,0,4,0,98505,0,0
"26","FH",2024-03-25,0,6.9,0,98505,0,0
"27","FH",2024-06-03,0,5.4,0,98505,0,0
"28","FH",2024-06-17,0.1,2.3,870.64476,98505,8.83858443733821,0.88385844373382
"29","FH",2024-06-24,0,1.9,0,98505,0,0
"30","FH",2024-07-08,0,3.9,0,98505,0,0
"31","HS",2023-06-26,0,13.6,0,125235,0,0
"32","HS",2024-02-05,0,10.95,0,125235,0,0
"33","HS",2023-11-27,0,12.09,0,125235,0,0
"34","HS",2023-07-24,0,12.6,0,125235,0,0
"35","HS",2024-02-19,1.29,10.58,51664.0600584,125235,412.53691107438,41.253691107438
"36","HS",2023-12-27,0.42,11.71,18617.4132984,125235,148.659825914481,14.8659825914481
"37","HS",2023-08-28,0.23,13,11318.38188,125235,90.3771460055097,9.03771460055097
"38","HS",2024-02-26,0,12.26,0,125235,0,0
"39","HS",2024-01-29,0.17,11,7078.72044,125235,56.5234993412385,5.65234993412385
"40","HS",2023-09-25,0,13.42,0,125235,0,0
